S.No,Barcode No.,Delivery Challan No.,District,Delivery Point,Item,Category,Sub Category,Qty
5143,944440395143,,Thiruvallur,Gummidipoondi BEO,School Bags,Large,L,32
5144,944440395144,,Thiruvallur,Gummidipoondi BEO,School Bags,Large,L,32
5145,944440395145,,Thiruvallur,Gummidipoondi BEO,School Bags,Large,L,32
5146,944440395146,,Thiruvallur,Gummidipoondi BEO,School Bags,Large,L,32
5147,944440395147,,Thiruvallur,Gummidipoondi BEO,School Bags,Large,L,32
5148,944440395148,,Thiruvallur,Gummidipoondi BEO,School Bags,Large,L,32
5149,944440395149,,Thiruvallur,Gummidipoondi BEO,School Bags,Large,L,32
5150,944440395150,,Thiruvallur,Gummidipoondi BEO,School Bags,Large,L,32
5151,944440395151,,Thiruvallur,Gummidipoondi BEO,School Bags,Large,L,32
5152,944440395152,,Thiruvallur,Gummidipoondi BEO,School Bags,Large,L,32
5153,944440395153,,Thiruvallur,Gummidipoondi BEO,School Bags,Large,L,32
5154,944440395154,,Thiruvallur,Gummidipoondi BEO,School Bags,Large,L,32
5155,944440395155,,Thiruvallur,Gummidipoondi BEO,School Bags,Large,L,32
5156,944440395156,,Thiruvallur,Gummidipoondi BEO,School Bags,Large,L,32
5157,944440395157,,Thiruvallur,Gummidipoondi BEO,School Bags,Large,L,32
5158,944440395158,,Thiruvallur,Gummidipoondi BEO,School Bags,Large,L,32
5159,944440395159,,Thiruvallur,Gummidipoondi BEO,School Bags,Large,L,32
5160,944440395160,,Thiruvallur,Gummidipoondi BEO,School Bags,Large,L,32
5161,944440395161,,Thiruvallur,Gummidipoondi BEO,School Bags,Large,L,32
5162,944440395162,,Thiruvallur,Gummidipoondi BEO,School Bags,Large,L,32
5163,944440395163,,Thiruvallur,Gummidipoondi BEO,School Bags,Large,L,32
5164,944440395164,,Thiruvallur,Gummidipoondi BEO,School Bags,Large,L,32
5165,944440395165,,Thiruvallur,Gummidipoondi BEO,School Bags,Large,L,32
5166,944440395166,,Thiruvallur,Gummidipoondi BEO,School Bags,Large,L,16
